Student Id,Final,Pre Test,Post Test,Score,Avg
040180518,5,65,35,DD,38
040160428,21,35,40,DD,29
040190517,7,10,45,DD,33
040200752,35,80,35,DC,40
040170458,19,35,35,FF,28
040180513,7,55,50,DD,30
040200794,40,75,60,CB,54
040180554,33,70,50,CB,55
040180545,20,60,40,CC,47
040170437,9,60,50,DD,37
040180548,10,80,55,DC,42
040180925,19,55,50,DD,39
040200753,18,65,40,DD,30
040160442,20,,20,DD,31
040200795,35,60,60,CB,56
030180088,10,80,35,DC,45
040200793,28,95,40,CB,54
110190056,7,80,35,DC,44
Mean,24.39,64.85,51.22,1.69,44.8
Standard Deviation,17.47,20.27,15.26,0.91,13.29
