Student Id,Final,Pre Test,Post Test,Score,Avg
04160462,42,55,0,CC,54
04160721,35,50,68,DD,42
04160729,52,55,90,CB,65
040170417,21,55,20,DD,34
040170428,38,30,24,DC,48
040170432,34,30,30,DC,47
040170454,46,40,40,CC,53
040170462,50,40,44,CB,60
040170748,52,65,68,BB,71
040170749,23,55,24,DD,36
040170920,20,50,48,DD,32
040180719,35,70,100,BB,68
040180720,67,70,88,BA,80
040180721,56,65,100,BB,70
150150133,65,70,20,BB,68
504191107,15,,24,DD,33
504191111,15,50,36,FF,24
Mean,44.77,51.32,47.54,1.95,53.86
Standard Deviation,15.23,13.01,33.53,1.05,17.17
